id2,cuisine
d11917794,['Cafe']
d5815712,"['Quick Bites', 'Caribbean', 'Vegetarian Friendly']"
d11639553,
d12106062,
d10284451,['French']
d8638207,"['Italian', 'Pizza', 'Vegetarian Friendly']"
d8068470,
d1199811,
d10140450,
d12610395,"['French', 'European', 'Vegetarian Friendly']"
d12895283,"['Sushi', 'Vietnamese']"
d4814736,"['Mediterranean', 'Spanish']"
d9752019,
d5858135,
d8096899,
d12414954,['Cafe']
d7747758,['Fast Food']
d10813678,"['Italian', 'Vegetarian Friendly']"
d1961742,
d4756384,
d12686213,
d13298310,['Italian']
d1039336,
d10818101,"['Mediterranean', 'Spanish']"
d8813458,"['Fast Food', 'Mediterranean', 'Turkish']"
d11694124,
d8009095,['Italian']
d8795145,['Seafood']
d4736578,['German']
d5958902,"['European', 'Portuguese']"
d696466,
d10094682,"['European', 'Portuguese']"
d12546818,
d4867848,
d8826603,"['Fast Food', 'Turkish']"
d12956304,"['Italian', 'Fast Food', 'Vegetarian Friendly']"
d11931652,"['Vegetarian Friendly', 'Vegan Options']"
d12322297,['French']
d12662668,"['Peruvian', 'Latin', 'Spanish']"
d2281169,
d983729,
d9777892,['Vegetarian Friendly']
d7056035,['European']
d6155961,"['Bar', 'Pub']"
d4769119,
d10057094,"['Mediterranean', 'European', 'Spanish']"
d13125004,
d8746354,['Vegetarian Friendly']
d10039420,"['Mediterranean', 'Greek']"
d5491214,
d12896074,"['Bar', 'Pub']"
d7953641,
d12237533,"['Dessert', 'Cafe', 'European']"
d5798049,
d12238866,
d12485129,"['Chinese', 'Asian', 'Vegetarian Friendly']"
d5814521,
d12558035,
d8339928,
d4769024,"['European', 'Czech']"
d5122253,['Chinese']
d12111212,
d8553497,['Cafe']
d5122196,
d10757828,"['Cafe', 'Vegetarian Friendly']"
d8511126,"['Bar', 'Pub']"
d8411341,
d5863976,
d8338341,
d12330256,['Cafe']
d6385497,
d5779903,['Italian']
d13221221,['American']
d5786840,['European']
d4208233,
d12209906,['Spanish']
d5489006,
d8119426,
d1127569,
d12320533,
d5616673,
d5890760,"['French', 'European', 'Vegetarian Friendly']"
d12688891,"['Quick Bites', 'Cafe', 'British']"
d10056325,['American']
d2020466,"['German', 'European', 'Central European']"
d6706487,['Spanish']
d13329010,"['Italian', 'Pizza', 'Vegetarian Friendly']"
d8178565,
d8340160,"['Italian', 'Vegetarian Friendly']"
d7893348,['Caribbean']
d1064955,
d8339926,
d5816787,"['Indian', 'Fast Food', 'Asian']"
d10176590,
d10252555,"['French', 'Cafe', 'Vegetarian Friendly']"
d4762298,['Fast Food']
d1335349,"['Lebanese', 'Mediterranean', 'Middle Eastern']"
d5871029,
d12670270,['Turkish']
d13292592,
d6780498,
d1478390,
d11957174,
d12675937,"['Japanese', 'Seafood', 'Sushi']"
d5975762,"['Austrian', 'European', 'Vegetarian Friendly']"
d9785381,"['Italian', 'Vegetarian Friendly']"
d8705042,
d5788990,
d8708371,
d6673156,
d8339962,"['Italian', 'Chinese']"
d12459332,
d10281901,"['Italian', 'Pizza']"
d7991725,
d2142583,"['Bar', 'Pub']"
d1322139,['Turkish']
d986238,
d12209805,"['Bar', 'Pub']"
d7398367,
d6394921,
d2075685,
d8845739,
d8437495,['Italian']
d12460072,"['Brew Pub', 'Cafe', 'Asian']"
d5529011,
d9770053,['Chinese']
d3968271,
d11711683,
d11812614,"['German', 'Wine Bar']"
d4925026,['Fast Food']
d2615757,
d10844696,
d12396335,['Greek']
d5799079,
d10028952,"['Mediterranean', 'Spanish', 'Vegetarian Friendly']"
d8803985,
d2204925,"['Chinese', 'Asian']"
d4844269,
d7254872,
d6848557,"['European', 'Portuguese']"
d5860201,
d10628680,['Italian']
d5800286,"['Asian', 'Vietnamese']"
d10779520,
d12736481,"['Cafe', 'Fast Food', 'Mediterranean']"
d1977885,['French']
d10792252,
d8598311,
d5960915,"['Cafe', 'European', 'Vegetarian Friendly']"
d10063438,"['Austrian', 'Bar', 'European']"
d8419837,
d10745314,
d991478,"['Spanish', 'Vegetarian Friendly']"
d10620494,['French']
d12433596,"['Bakeries', 'French']"
d11873684,"['Polish', 'European']"
d6976249,
d11498264,
d11714897,
d10547286,
d6596332,
d13132511,
d7854142,"['Quick Bites', 'American', 'Fast Food']"
d8361179,['German']
d7719111,
d12453841,"['Moroccan', 'Mediterranean', 'Vegetarian Friendly']"
d12407731,"['Seafood', 'Fast Food', 'Vegetarian Friendly']"
d4768064,
d8073799,
d9779749,
d5976755,
d1358389,
d12318196,
d5986431,
d12946550,
d4871871,
d11847315,
d9742099,
d10031135,
d4769995,
d8153020,['Spanish']
d5608986,"['Mediterranean', 'Spanish', 'Vegetarian Friendly']"
d13076001,
d5570780,"['French', 'European']"
d4844365,"['Swiss', 'European', 'Beer restaurants']"
d10240125,"['German', 'Bar', 'Pub']"
d6852267,
d9849854,
d10026279,
d5932473,
d11906300,
d9824750,"['Greek', 'Vegetarian Friendly']"
d10335404,['Cafe']
d5531189,
d8428726,
d5936110,
d10594861,"['Bar', 'Pub']"
d1357540,"['Bar', 'Cafe']"
d12128414,['Sushi']
d9806573,
d7992434,
d8710271,
d12839566,
d5122017,
d8403773,"['Japanese', 'Sushi', 'Asian']"
d7906421,
d12202205,['Indian']
d8051923,"['Italian', 'Pizza', 'Cafe']"
d10525104,
d1332252,
d4736583,['Spanish']
d10091126,"['Japanese', 'Sushi', 'Asian']"
d7626335,
d8731418,"['Italian', 'Pizza', 'European']"
d8447862,
d1038927,
d6490164,
d8773444,"['French', 'Belgian', 'European']"
d7589391,
d897153,
d8657201,
d11885302,"['Italian', 'Pizza', 'European']"
d4910536,
d9711626,
d12334550,
d1053279,"['European', 'Swedish', 'Scandinavian']"
d4769886,
d10004154,['Cafe']
d697430,"['Bar', 'Mediterranean', 'Spanish']"
d5788038,
d9776800,
d12534553,
d6853141,['Fast Food']
d10518989,"['Wine Bar', 'Vegetarian Friendly']"
d11992738,['Fusion']
d998029,
d12600421,['Mediterranean']
d5616316,
d1501200,"['Bar', 'European', 'British', 'Pub']"
d9803793,
d1039557,
d3188806,['Pub']
d2196565,"['Fast Food', 'Asian', 'Vegetarian Friendly']"
d8651200,"['Italian', 'Mediterranean', 'Vegetarian Friendly']"
d5796125,"['Chinese', 'Asian']"
d4150017,
d11800835,
d5779772,
d5243135,
d12006211,"['Seafood', 'Barbecue', 'Asian']"
d7598047,"['European', 'Portuguese']"
d1580627,
d1059432,
d12276808,
d998017,
d8339116,"['Italian', 'Bar', 'Cafe']"
d13416641,
d5616859,
d9714267,"['Quick Bites', 'Cafe']"
d2006091,
d13008894,"['Chinese', 'Indian', 'Asian']"
d6695219,"['French', 'European', 'Vegetarian Friendly']"
d1420123,['European']
d7045423,
d11604127,
d7057120,['French']
d8291222,"['Italian', 'Seafood']"
d11180444,"['Bakeries', 'French', 'Vegetarian Friendly']"
d10834914,
d11849037,
d10790418,
d7991074,
d10766955,['Steakhouse']
d7342170,['Spanish']
d5048797,
d7309072,['Cafe']
d1358698,
d10636375,"['American', 'Bar', 'European']"
d6872907,"['Chinese', 'Asian', 'Vegetarian Friendly']"
d1044500,
d11749210,['Greek']
d11838852,"['Polish', 'European', 'Eastern European']"
d11746173,"['Cafe', 'Fast Food', 'Mediterranean']"
d12658197,
d5530948,"['Italian', 'Pizza', 'Mediterranean']"
d5980467,
d8379570,
d5810004,"['American', 'Pizza']"
d4365599,
d12675392,['Spanish']
d11854547,
d5977712,['Cafe']
d8068602,['Grill']
d12149997,
d753822,
d1341336,"['German', 'Vegetarian Friendly', 'Vegan Options']"
d12235071,
d5220322,
d10755704,"['Turkish', 'Middle Eastern', 'Vegetarian Friendly']"
d12562315,
d12374022,
d4510033,
d12141969,['Chinese']
d6846500,
d3709102,
d11837483,
d5443391,
d3971982,"['French', 'Bar', 'European']"
d5863041,['Cafe']
d945540,
d5959172,"['European', 'Portuguese']"
d2264304,
d696925,"['Bar', 'European', 'Pub']"
d8644711,['French']
d12319729,"['International', 'Contemporary', 'Vegetarian Friendly']"
d5614315,
d10302261,['French']
d10769948,"['Chinese', 'Asian', 'Thai']"
d10802112,
d10607343,
d8602388,
d5870511,"['Mediterranean', 'Spanish']"
d12376518,"['Italian', 'Vegetarian Friendly']"
d5977727,"['Italian', 'Fast Food', 'Vegan Options']"
d10147007,['French']
d5506840,
d12295661,
d12675476,
d12969468,"['Bar', 'Pub']"
d10109188,
d12287300,"['Italian', 'Pizza']"
d9878848,"['Mediterranean', 'Spanish', 'Vegetarian Friendly']"
d10038001,"['Fast Food', 'Vegetarian Friendly']"
d8852593,['Vegetarian Friendly']
d2465744,
d8821376,"['Bakeries', 'Italian']"
d11671415,"['Dessert', 'Vegetarian Friendly', 'Vegan Options']"
d10389521,"['Italian', 'Fast Food', 'Vegetarian Friendly']"
d10895069,
d8596535,"['European', 'Norwegian']"
d5788013,
d10478328,
d5814255,"['Chinese', 'Asian']"
d8684582,
d2282763,
d5809281,"['German', 'Vegetarian Friendly']"
d12082524,"['Austrian', 'European', 'Vegetarian Friendly']"
d8811086,
d5798922,
d9597167,"['Cafe', 'Vegetarian Friendly']"
d5448010,"['Fast Food', 'Asian', 'Halal']"
d10057978,
d5816314,
d8607095,"['Italian', 'Pizza']"
d6439181,
d5798768,
d8510349,['Cafe']
d10346869,['French']
d10048299,"['Bar', 'Pub']"
d9819522,
d12638000,['British']
d12151589,
d11905556,['Fast Food']
d5776155,
d12300629,"['Mediterranean', 'Spanish']"
d11510376,
d5848484,['Italian']
d8339602,['Fast Food']
d795556,
d5430553,
d9782870,"['Italian', 'Mediterranean', 'Vegetarian Friendly']"
d10664983,
d964381,
d5768299,
d11802003,"['Italian', 'Pizza']"
d6680318,['French']
d10205490,['Irish']
d1827749,
d12071943,
d11866884,"['Italian', 'Pizza', 'Vegetarian Friendly']"
d966317,
d8297197,
d1337404,
d8340829,
d8407965,
d12553148,"['Bar', 'Cafe', 'Pub']"
d10475643,"['Bakeries', 'French']"
d1039168,
d6511080,
d4737290,
d11662567,"['Bar', 'Pub']"
d1343442,
d740048,"['Quick Bites', 'Fast Food']"
d5518431,
d8368489,
d10794456,
d8805366,"['Italian', 'Bar', 'Pub']"
d6377039,"['French', 'Bar', 'European']"
d9765753,['Cafe']
d11549341,"['Italian', 'Pizza']"
d10211862,
d5979703,
d8606393,"['Italian', 'German', 'Vegetarian Friendly']"
d8519810,"['Cafe', 'Fast Food']"
d12286848,"['Austrian', 'European', 'Central European']"
d6123515,
d6404113,"['Cafe', 'European', 'Asian']"
d9772105,"['European', 'Portuguese']"
d7994414,"['German', 'European', 'Central European']"
d1044931,
d12339930,['Grill']
d8871018,
d12347294,"['Italian', 'Mediterranean', 'European']"
d8730782,
d7995084,
d10389385,"['German', 'Austrian', 'European']"
d12387559,"['Bakeries', 'Cafe', 'European']"
d5864235,"['Mediterranean', 'Spanish']"
d4861096,['Spanish']
d12447458,
d1104469,
d1358502,
d5312530,"['Bar', 'Pub']"
d10371577,"['German', 'European', 'Croatian']"
d13164397,['Healthy']
d5890140,"['French', 'European', 'Dining bars']"
d10433257,
d11306058,
d12681270,['European']
d12568459,['Cafe']
d6821749,
d11894224,['Spanish']
d8652731,['Sushi']
d10100793,"['Bakeries', 'French']"
d2042149,"['French', 'European']"
d13322859,['Chinese']
d11824466,
d8297514,"['Quick Bites', 'Fast Food']"
d11920985,"['Mediterranean', 'Spanish', 'Vegetarian Friendly']"
d1495939,
d5850176,
d5890838,['French']
d12145157,['French']
d10887954,['Cafe']
d12162255,
d12338500,
d3691249,"['Swiss', 'European', 'Vegetarian Friendly']"
d10034449,
d8786143,"['Fast Food', 'Healthy', 'Vegetarian Friendly']"
d5797410,"['French', 'Vegetarian Friendly', 'Halal']"
d11962859,
d10370438,"['Bakeries', 'Deli']"
d5795965,"['Mediterranean', 'Spanish']"
d10677160,"['Quick Bites', 'Mexican', 'Fast Food']"
d8511259,['Italian']
d10145927,
d991157,['Spanish']
d7047612,['French']
d11947650,['Middle Eastern']
d8672872,
d9597926,"['Seafood', 'Fast Food', 'British']"
d12452365,
d991402,"['Steakhouse', 'Mediterranean', 'Spanish']"
d3953347,
d12614118,['Cafe']
d1337010,
d1336783,
d3612611,
d10525289,"['Chinese', 'Asian']"
d10838358,['European']
d8523489,
d991347,
d12328261,
d6576966,"['Italian', 'Vegetarian Friendly']"
d10777665,
d753113,['Dutch']
d5864189,
d8068560,['Middle Eastern']
d718338,
d4149158,['French']
d8374592,['Italian']
d7302948,
d7395772,
d1221094,
d10106916,
d11712464,
d12885165,
d12170614,
d9770016,
d5815787,
d1037251,
d11804207,"['Peruvian', 'South American']"
d5931841,
d11736918,"['Asian', 'Thai', 'Vegetarian Friendly']"
d5976544,"['Dessert', 'European']"
d11926379,
d4767542,"['European', 'Czech']"
d10559391,"['Fast Food', 'Asian', 'Thai']"
d12225731,['French']
d11932517,"['Quick Bites', 'Dutch', 'European']"
d5122157,
d5794830,
d8339622,['Italian']
d4769954,['European']
d8649864,"['German', 'European', 'Czech']"
d13319326,"['Mediterranean', 'Spanish', 'Vegetarian Friendly']"
d1942829,"['Japanese', 'Sushi', 'Asian']"
d12111971,"['Italian', 'Pizza', 'Mediterranean']"
d9561577,
d6952894,
d7242801,
d8404550,['Cafe']
d12491653,"['Bar', 'British', 'Pub']"
d7803394,
d10366215,
d3964724,
d5797293,['Vegetarian Friendly']
d5487163,['Spanish']
d8743345,
d8388746,
d10080282,
d5615731,"['Spanish', 'Vegetarian Friendly']"
d1469128,"['German', 'Vegetarian Friendly']"
d1357259,
d7239650,"['French', 'European']"
d4830395,['French']
d5852715,
d4973558,"['Dessert', 'European']"
d1346218,
d7817731,"['Chinese', 'Asian', 'Vegetarian Friendly']"
d5977446,"['European', 'Portuguese']"
d5851561,
d10146952,"['Bar', 'Pub']"
d10790167,
d11912222,
d10160278,
d6028274,
d12499888,"['French', 'European', 'Swedish']"
d6029231,
d1341778,
d11755169,
d5791577,"['Irish', 'Bar', 'Pub']"
d8339895,"['Italian', 'Bar', 'Pub']"
d1554172,
d7108756,['French']
d10470233,"['Quick Bites', 'Fast Food']"
d11719228,"['European', 'Portuguese']"
d12030280,"['Polish', 'European']"
d10480410,['Cafe']
d13206805,"['Cafe', 'Deli', 'Healthy']"
d5796087,['Spanish']
d11749495,
d1334194,
d10130579,['Japanese']
d5861993,"['Italian', 'Pizza']"
d5870675,"['Mediterranean', 'Spanish']"
d8042640,"['Italian', 'Seafood', 'Mediterranean']"
d8655212,['French']
d5453970,"['Cafe', 'Vegetarian Friendly', 'Vegan Options']"
d12849021,"['Steakhouse', 'Barbecue', 'Grill']"
d12621189,"['Quick Bites', 'Asian', 'Thai']"
d3388054,['Bar']
d9997492,
d8277409,
d12669152,
d11868538,"['Italian', 'Fast Food', 'Vegetarian Friendly']"
d10619213,
d12870450,"['Mediterranean', 'Spanish']"
d11576175,
d8660868,['Spanish']
d12598441,"['Chinese', 'Asian', 'Vegetarian Friendly']"
d11807276,"['Steakhouse', 'Barbecue', 'Vegetarian Friendly']"
d12407258,
d11910436,"['European', 'Portuguese']"
d9557562,
d5615896,
d2002660,"['German', 'European', 'Central European']"
d10777709,['French']
d7039171,
d8450076,"['Bar', 'Pub']"
d12232818,"['European', 'Czech']"
d8003998,
d991442,['Spanish']
d10313674,
d9561390,
d1098661,
d5808636,
d12473177,"['French', 'Wine Bar']"
d1356816,
d12338007,
d7913079,['Italian']
d5959841,
d6716165,
d3674189,"['Cafe', 'Wine Bar']"
d5489560,"['Quick Bites', 'American', 'Fast Food']"
d795727,
d12153724,['Pizza']
d5531130,
d13223572,"['Polish', 'European']"
d12634665,"['Bar', 'Pub']"
d10719517,"['European', 'Swedish']"
d901440,
d5520254,"['Italian', 'Pizza', 'Cafe']"
d10430060,['Cafe']
d6692315,"['European', 'Portuguese']"
d1153485,
d9567436,"['Quick Bites', 'Fast Food']"
d7312557,
d4299714,
d12404808,"['Cafe', 'Vegetarian Friendly', 'Vegan Options']"
d4769802,
d7332272,['Italian']
d12509173,
d10243055,
d2148699,
d7260101,
d4582835,
d9743533,
d10028664,
d12816981,
d7341981,
d7809325,"['French', 'Vegetarian Friendly']"
d9764067,['Cafe']
d11492257,
d10092147,
d12627620,['Asian']
d5080710,
d5819256,"['Cafe', 'Vegetarian Friendly']"
d5414990,
