id2,num_of_reviews
d12978001,8.0
d12600421,1.0
d4104485,1.0
d5616316,1.0
d967170,1.0
d5779772,
d13416641,
d2006091,1.0
d13008894,21.0
d10382095,2.0
d12813995,3.0
d5048797,1.0
d12658197,8.0
d4759379,1.0
d13235156,11.0
d10167698,
d12235071,6.0
d8813086,1.0
d4468021,1.0
d12319729,25.0
d7817530,1.0
d10802112,2.0
d12951895,1.0
d12295661,3.0
d12641017,9.0
d7035214,3.0
d3389799,1.0
d5816314,5.0
d12638000,11.0
d12151589,
d12503234,8.0
d5776155,1.0
d5430553,
d731403,2.0
d10664983,3.0
d12644968,3.0
d12071943,
d8340829,2.0
d12817078,5.0
d12951652,3.0
d5518431,
d10794456,
d7751487,1.0
d6123515,1.0
d8871018,1.0
d4770231,2.0
d7123982,1.0
d7995084,
d12447458,
d13164397,13.0
d13322859,3.0
d7124143,2.0
d13228347,1.0
d12010794,
d11847899,
d10319682,3.0
d7779387,2.0
d5889347,1.0
d10669908,1.0
d12408044,1.0
d4041042,2.0
d10838358,1.0
d991347,1.0
d7274414,1.0
d10777665,1.0
d12818846,5.0
d2149259,3.0
d10106916,1.0
d12885165,2.0
d7123979,1.0
d2308767,2.0
d5122157,
d12675077,1.0
d13277645,207.0
d12977600,5.0
d7242801,1.0
d7803394,
d8669535,3.0
d12869856,12.0
d1044965,1.0
d1357259,1.0
d1947786,1.0
d1346218,1.0
d12030280,3.0
d13206805,15.0
d9997492,
d8277409,1.0
d12407258,5.0
d12232818,3.0
d2691365,
d13125259,10.0
d1098661,1.0
d12338007,1.0
d13223572,34.0
d1233812,
d13207408,23.0
d1153485,
d5122031,10.0
d12509173,1.0
d12636067,8.0
d10028664,4.0
d12816981,1.0
d7799141,2.0
d9764067,1.0
d11492257,1.0
d695163,3.0
d8630276,
d7123669,2.0
d12741904,4.0
d13173474,2.0
d3419895,1.0
d807021,1.0
d8571953,1.0
d8097661,1.0
d8625379,1.0
d5667613,1.0
d5447664,1.0
d5513637,
d11638928,4.0
d1341218,2.0
d8317788,
d9778442,2.0
d12360369,2.0
d8538321,6.0
d2386617,1.0
d12150298,1.0
d8516779,1.0
d12999215,20.0
d11855348,1.0
d3736559,4.0
d12690823,4.0
d12702495,3.0
d5801542,
d4793670,3.0
d12843332,10.0
d4769113,3.0
d12155617,4.0
d12322378,2.0
d8568801,1.0
d11435573,
d11762915,4.0
d12883497,
d8612503,2.0
d12999712,5.0
d12718623,5.0
d11803552,1.0
d9789750,3.0
d12982080,10.0
d9858112,1.0
d11979164,93.0
d13279644,
d3255251,1.0
d11775599,2.0
d10254501,2.0
d11993918,
d12438436,
d12079994,2.0
d5959913,
d7023432,6.0
d12441874,14.0
d1045655,1.0
d7124547,1.0
d4793532,5.0
d1045016,1.0
d8836176,1.0
d3242352,1.0
d12687081,2.0
d6002377,1.0
d4295285,1.0
d12610981,14.0
d1034850,1.0
d1360715,5.0
d8779158,1.0
d12800977,2.0
d9563567,
d5986223,
d12848330,
d5873391,
d12842681,
d5814968,
d991076,1.0
d7144321,2.0
d12709056,1.0
d10154475,1.0
d3693120,1.0
d12968093,3.0
d2351213,
d719007,2.0
d8339680,1.0
d11754699,1.0
d13234486,2.0
d12358876,8.0
d10793090,1.0
d13008726,21.0
d12593283,6.0
d4493631,1.0
d5526124,1.0
d12671327,8.0
d12338543,
d809226,2.0
d10832789,2.0
d2643443,1.0
d6816839,
d13091986,23.0
d11825506,1.0
d12225612,2.0
d9720461,1.0
d11932910,2.0
d12998649,168.0
d5818231,
d12790648,
d12623089,1.0
d12404168,
d7320818,
d13391926,4.0
d7124293,1.0
d12567720,
d10230176,1.0
d12190119,
d5575153,1.0
d4164781,1.0
d7715584,1.0
d11773975,1.0
d12789888,6.0
d12296416,2.0
d3709421,2.0
d13205700,1.0
d10294046,2.0
d12523892,2.0
d2055698,2.0
d7124355,2.0
d12884238,1.0
d12714120,10.0
d12690811,2.0
d12453988,1.0
d12689621,4.0
d12423389,3.0
d5615985,
d694429,1.0
d4277605,1.0
d12790155,2.0
d12996991,3.0
d5616972,
d13389892,315.0
d11844664,1.0
d7692957,1.0
d11698800,1.0
d4770177,2.0
d998036,1.0
d12111251,4.0
d991465,2.0
d11876813,1.0
d12502429,5.0
d5798993,3.0
d12989071,5.0
d793314,1.0
d12691934,2.0
d12347449,4.0
d6959833,2.0
d5606649,
d10389453,1.0
d12550580,3.0
d12333763,2.0
d3648655,1.0
d988103,1.0
d11956653,7.0
d12091118,118.0
d12902828,1.0
d4925008,
d4769175,1.0
d4283300,1.0
d1792283,1.0
d5959090,
d12926331,2.0
d2012775,1.0
d5443126,1.0
d11796028,1.0
d7246424,1.0
d12315298,5.0
d7123878,2.0
d10621309,1.0
d12947701,6.0
d10140016,
d7222895,5.0
d4736680,1.0
d5614735,1.0
d12516040,3.0
d12659306,5.0
d13316619,1.0
d12526154,15.0
d13282793,
d11977755,1.0
d7021742,1.0
d12880689,2.0
d10783829,1.0
d8602347,2.0
d12598511,9.0
d1337300,1.0
d11868688,9.0
d12133777,11.0
d13140280,25.0
d4872822,1.0
d13219093,88.0
d8339582,2.0
d8545938,1.0
d1341434,1.0
d9561767,1.0
d12431282,2.0
d12246026,1.0
d5893445,3.0
d12115875,7.0
d5487248,
d983442,1.0
d12506182,5.0
d7795766,2.0
d12972100,1.0
d5585323,
d2248859,1.0
d7691362,5.0
d13005314,1.0
d12435055,1.0
d10109006,1.0
d13329521,1.0
d7732833,1.0
d10097642,
d5884720,1.0
d12997793,24.0
d3526688,1.0
d7123276,1.0
d10364907,4.0
d3488696,1.0
d12327968,1.0
d754608,1.0
d11977726,1.0
d2459488,1.0
d7612377,1.0
d11971154,1.0
d2440450,1.0
d7208278,1.0
d12682442,2.0
d10373602,
d7334246,1.0
d12347687,15.0
d1359405,
d12503274,7.0
d12904954,11.0
d11256345,
d1359623,1.0
d12141488,1.0
d10513305,1.0
d12691304,2.0
d5810024,
d13228916,23.0
d4373191,2.0
d8744282,1.0
d10235245,2.0
d13287896,30.0
d4176407,1.0
d7380562,1.0
d8672779,1.0
d10351537,1.0
d7219269,1.0
d5965095,
d12709090,636.0
d11903887,10.0
d6586183,1.0
d5872958,1.0
d8724590,
d10299847,
d13163531,1.0
d4770070,3.0
d9818436,
d12447519,4.0
d3588914,1.0
d10895300,12.0
d12645890,5.0
d10491585,
d4313262,2.0
d1408625,1.0
d12709879,1.0
d7124242,2.0
d13112112,5.0
d3641624,
d3253728,5.0
d12936301,9.0
d719828,1.0
d12503689,5.0
d5958635,1.0
d12988498,15.0
d12286614,
d12474788,1.0
d5519516,2.0
d4697027,2.0
d5976348,2.0
d10156990,1.0
d12438455,9.0
d10355476,
d5952821,
d7108760,1.0
d13223772,
d12874472,3.0
d12934855,5.0
d11987807,4.0
d12658615,25.0
d10307768,1.0
d13163013,12.0
d13325428,9.0
d9754603,5.0
d7706988,2.0
d7396035,1.0
d13101885,10.0
d12953011,37.0
d10536824,1.0
d13226439,6.0
d9768445,3.0
d7246394,1.0
d10042646,1.0
d5123013,3.0
d12988313,4.0
d12563281,43.0
d12871767,51.0
d1367109,
d11913770,4.0
d12882675,1.0
d12410514,7.0
d12685978,
d13205467,172.0
d9791824,
d7252240,
d5526125,45.0
d13284380,1.0
d5860341,
d1392639,1.0
d10697083,
d8856363,1.0
d7254611,1.0
d12696444,5.0
d4770156,1.0
d12605368,281.0
d10376968,1.0
d11981682,8.0
d12910843,1.0
d1356845,1.0
d10512597,1.0
d9768082,2.0
d12043632,2.0
d9600324,
d3493885,1.0
d7124519,1.0
d12695167,1.0
d3849447,4.0
d12956974,2.0
d7649506,2.0
d12294666,2.0
d7685497,1.0
d12058303,1.0
d13144634,11.0
d5776719,
d2649249,1.0
d12644440,
d1343048,1.0
d12503121,1.0
d12845029,1.0
d10058810,
d8791087,2.0
d13197631,48.0
d12243659,1.0
d13284434,22.0
d12068247,
d2424319,
d13139218,2.0
d7243246,
d8660001,2.0
d12572658,2.0
d4946996,1.0
d8339930,2.0
d12049003,1.0
d12384552,4.0
d10724032,1.0
d12114896,2.0
d5442851,4.0
d7996902,1.0
d1354477,1.0
d11958460,1.0
d12098434,
d10079338,
d12842987,
d13226281,3.0
d12229735,1.0
d1043805,2.0
d7246537,1.0
d12175079,1.0
d4173077,1.0
d7724601,1.0
d12875617,5.0
d12172734,2.0
d11543758,1.0
d3735823,1.0
d12322989,
d4768291,3.0
d10587448,22.0
d12873448,7.0
d11861153,1.0
d8571233,3.0
d9752550,
d10818786,3.0
d7124393,1.0
d8602510,1.0
d11951673,23.0
d12404527,5.0
d7160467,1.0
d11812785,1.0
d11871901,2.0
d5583335,
d7787852,1.0
d10467094,3.0
d11950716,2.0
d12883544,13.0
d13206566,
d13153300,18.0
d7205059,6.0
d13152856,57.0
d6224819,1.0
d10524857,5.0
d7274076,1.0
d3367014,1.0
d10479056,
d12691511,3.0
d5862958,
d12395922,1.0
d7045726,1.0
d13125687,6.0
d5617497,
d13284579,5.0
d12911571,
d5981992,
d12408013,2.0
d13239000,21.0
d12567561,4.0
d7124407,1.0
d9740773,3.0
d717321,1.0
d8871731,1.0
d6380666,1.0
d10486190,
d13133990,15.0
d6986251,1.0
d7123548,1.0
d939738,1.0
d8333948,11.0
d10529250,2.0
d1044850,1.0
d12933690,11.0
d5122077,
d8339780,4.0
d10320753,
d6107125,1.0
d12135807,1.0
d4769848,4.0
d11434812,6.0
d13002781,19.0
d12864876,17.0
d1320095,1.0
d11538645,
d4758586,2.0
d12351411,1.0
d997606,1.0
d12857123,4.0
d13135431,2.0
d13282850,
d11510425,4.0
d11829633,4.0
d1039258,1.0
d12421545,
d11771269,1.0
d7123406,1.0
d13130053,4.0
d2096383,1.0
d1356813,2.0
d10034211,4.0
d10049578,
d13129650,12.0
d12322543,
d13082910,53.0
d13288611,11.0
d12149655,1.0
d10032359,
d11500668,2.0
d4041933,2.0
d11719295,
d8279370,1.0
d6458692,1.0
d3791760,1.0
d10662137,3.0
d12946257,2.0
d13081831,17.0
d13117362,4.0
d12874574,
d8518295,
d12792802,2.0
d12554634,5.0
d13205446,4.0
d13421037,30.0
d1486745,1.0
d4084438,1.0
d8339618,1.0
d1103687,1.0
d12558178,
d4768775,1.0
d12832409,5.0
d7236057,2.0
d5816301,
d718042,1.0
d986430,1.0
d6999656,44.0
d10365832,2.0
d10470712,1.0
d4793252,1.0
d991499,2.0
d8385113,1.0
d8774827,2.0
d13189517,18.0
d12501561,3.0
d11712376,1.0
d4914376,3.0
d5243162,2.0
d5259633,1.0
d12959653,25.0
d1390604,
d13125943,3.0
d3200465,4.0
d13008535,1.0
d10347570,1.0
d13234497,11.0
d5936442,1.0
d13201288,58.0
d10517142,1.0
d8017741,1.0
d10019835,
d5955847,1.0
d7342196,1.0
d5795620,
d12242560,37.0
d8848749,1.0
d5794562,2.0
d12850963,
d13199889,68.0
d1234581,1.0
d697197,1.0
d1037140,4.0
d9882080,
d12431424,1.0
d718357,1.0
d1657483,1.0
d13126117,4.0
d12978805,2.0
d7123598,1.0
d12506505,
d12865525,
d12824847,2.0
d13172157,19.0
d3576247,1.0
d10584149,1.0
d8819098,2.0
d13274922,12.0
d9561885,
d4928913,2.0
d5972492,
d1195848,9.0
d12560018,1.0
d12557822,
d4221407,1.0
d3136268,1.0
d9824211,
d10266278,1.0
d9809593,1.0
d720646,2.0
d5959108,
d8261504,1.0
d12621405,11.0
d13197525,5.0
d7294241,
d10071825,
d1571579,1.0
d10288999,1.0
d12625557,275.0
d13149351,
d4770140,1.0
d12731915,3.0
d7604228,1.0
d5794927,
d12716306,3.0
d9766113,
d8581485,2.0
d1185140,
d8361333,
d10416601,1.0
d2085945,1.0
d1044344,2.0
d7597162,1.0
d7811215,1.0
d13129071,9.0
d13477951,1.0
d5816217,
d12438465,2.0
d5523143,1.0
d13195587,3.0
d11668002,4.0
d12210518,1.0
d12944013,5.0
d3439658,
d12071777,1.0
d5489226,
d8610209,
d8130518,1.0
d8537733,1.0
d11737291,3.0
d5027108,
d12867921,
d878295,
d12148796,
d8834124,1.0
d12926411,1.0
d13289876,2.0
d7897018,
d1093661,1.0
d12394472,
d13116812,1.0
d12388275,1.0
d12645762,2.0
d12362761,23.0
d2708688,1.0
d12551161,20.0
d12714398,13.0
d10458829,2.0
d7124148,1.0
d13298288,41.0
d10045197,2.0
d12949974,7.0
d7083435,1.0
d3568532,1.0
d12948479,
d12926349,116.0
d8051417,2.0
d12331315,9.0
d13115764,7.0
d12950426,354.0
d8873363,1.0
d3250778,1.0
d5079223,1.0
d9731847,2.0
d12718154,6.0
d8715608,1.0
d10804548,5.0
d5440386,
d12342225,1.0
d3163336,3.0
d6874868,
d10188263,3.0
d4523130,3.0
d12844056,7.0
d5795229,
d9730844,2.0
d4782938,1.0
d11895709,5.0
d4176712,1.0
d5220267,4.0
d7810324,1.0
d9821093,1.0
d7316049,1.0
d11918759,
d7154757,1.0
d5788938,10.0
d11827759,3.0
d10478201,1.0
d9729242,
d13283785,35.0
d7277869,1.0
d12822105,
d6610712,1.0
d2717760,
d6479082,1.0
d12938820,7.0
d1441087,1.0
d7123968,2.0
d12535806,130.0
d8339966,1.0
d2626097,1.0
d12571872,6.0
d1045067,1.0
d12859960,2.0
d10463660,1.0
d8126733,1.0
d4894368,1.0
d13189918,4.0
d12345338,1.0
d8059389,1.0
d13313019,13.0
d7124099,1.0
d11890774,1.0
d8642360,3.0
d8020108,1.0
d12866521,
d8537653,1.0
d11804604,3.0
d8795367,1.0
d6484155,1.0
d12801621,3.0
d12581319,
d4523210,2.0
d5243111,
d6618592,1.0
d5507497,
d8396334,
d12872056,3.0
d12674982,3.0
d13083533,8.0
d11953114,59.0
d10314483,8.0
d5489499,5.0
d12963001,40.0
d4869692,1.0
d8574615,
d7124004,1.0
d7148431,1.0
d1038835,
d10073799,2.0
d12281790,1.0
d1381569,1.0
d970070,1.0
d13296811,27.0
d10400824,2.0
d3929215,1.0
d12712244,3.0
d12809213,3.0
d8339754,1.0
d997608,
d4767800,1.0
d13307726,25.0
d9570812,2.0
d12415049,1.0
d7124403,2.0
d12353487,1.0
d12868561,6.0
d13296894,18.0
d4911290,
d5853771,
d1126334,1.0
d4769127,5.0
d12941805,3.0
d13090225,1.0
d6975911,1.0
d695169,1.0
d12438915,3.0
d12882182,7.0
d5037158,1.0
d11845274,1.0
d11905347,1.0
d2615209,1.0
d12691333,4.0
d8143844,2.0
d4768419,1.0
d12936857,22.0
d10782466,2.0
d13313742,716.0
d12259416,
d7274071,2.0
d9566719,1.0
d740562,1.0
d12794200,3.0
d12840183,40.0
d13087336,6.0
d12184436,1.0
d10119558,1.0
d10494780,5.0
d2403779,1.0
d11650771,262.0
d12086831,13.0
d10479257,2.0
d1044683,1.0
d11180137,1.0
d5122066,
d8336199,1.0
d1344567,6.0
d10227074,1.0
d1408643,1.0
d10031781,1.0
d997902,1.0
d7278591,3.0
d2333087,1.0
d12398758,2.0
d7755331,1.0
d5513568,3.0
d13323876,23.0
d12593503,4.0
d11815592,1.0
d10354535,1.0
d8773673,4.0
d8374350,
d12653872,
d12663216,1.0
d11807584,1.0
d12907038,3.0
d12243652,5.0
d10467852,37.0
d4295316,2.0
d13130305,2.0
d1346410,1.0
d12975733,53.0
d7177813,
d7704824,1.0
d12554985,2.0
d1520748,1.0
d6847457,1.0
d9807418,
d7646307,
d12170237,2.0
d12725106,3.0
d12459158,3.0
d1044859,1.0
d7009351,
d12051419,1.0
d10036970,2.0
d12831436,1.0
d4191973,1.0
d2709308,
d12986583,1.0
d10613450,1.0
d5264393,
d11444223,4.0
d12511912,1.0
d7123300,1.0
d13222806,8.0
d13322773,12.0
d11891423,1.0
d12188872,1.0
d12595830,2.0
d4223621,1.0
d2303957,1.0
d12252151,
d9746329,4.0
d13138647,7.0
d12963283,5.0
d10686709,1.0
d10238246,1.0
d12207887,17.0
d1221241,
d8499678,
d12901191,1.0
d2424335,1.0
d7246419,2.0
d5416433,2.0
d10121032,1.0
d5821532,1.0
d12681930,4.0
d12281218,1.0
d10595748,
d10119696,1.0
d8286616,1.0
d12728587,18.0
d11749392,
d697495,1.0
d13448920,11.0
d8618839,1.0
d12099522,143.0
d1336436,1.0
d12367943,1.0
d13172573,9.0
d12945767,2.0
d8341119,2.0
d11903301,
d12877045,1.0
d5864094,
d4567619,1.0
d10926213,4.0
d6654430,1.0
d5487305,
d2565207,
d13002706,3.0
d1043452,1.0
d7257385,2.0
d7604609,3.0
d12323318,2.0
d5981454,
d953869,1.0
d964392,3.0
d4769835,2.0
d8356846,1.0
d12995124,1.0
d11701638,
d5823734,
d10809300,1.0
d12856867,4.0
d12921238,1.0
d11672861,1.0
d11659486,1.0
d12403563,13.0
d12327525,6.0
d12484825,2.0
d12557369,5.0
d13140195,5.0
d2179931,1.0
d6408073,1.0
d11779008,2.0
d13001031,7.0
d12286589,2.0
d5793149,
d12120952,1.0
d987862,1.0
d5977410,6.0
d7123807,1.0
d8339657,2.0
d11722642,1.0
d13128175,
d7002316,1.0
d12718013,15.0
d4769850,2.0
d2716915,1.0
d1418401,1.0
d4767695,1.0
d12951633,1.0
d12128375,
d12814397,8.0
d10257704,1.0
d10745091,1.0
d7381256,2.0
d8855240,1.0
d8066638,1.0
d5967142,1.0
d12863016,2.0
d13138355,75.0
d1044376,1.0
d12480641,3.0
d7365820,1.0
d13008769,10.0
d12944085,1.0
d13124268,32.0
d13168011,10.0
d959169,
d1093698,1.0
d13137452,
d5928000,1.0
d9831596,5.0
d13134976,8.0
d9791609,
d10597222,3.0
d12333767,6.0
d13323033,9.0
d12173513,14.0
d12511265,4.0
d12115354,
d10044991,4.0
d9808238,
d11662075,
d11719480,
d2354931,1.0
d12924018,37.0
d12616105,1.0
d12829129,7.0
d12323149,4.0
d697439,1.0
d752024,1.0
d1437776,
d12640836,6.0
d6892655,1.0
d10041704,
d3365247,1.0
d10746733,
d12621246,1.0
d2630257,
d3842071,1.0
d12429488,4.0
d13118046,4.0
d10673544,3.0
d11535573,1.0
d12911510,1.0
d10781416,1.0
d12145665,2.0
d12430691,2.0
d7124051,2.0
d5808982,
d4138116,1.0
d11863669,2.0
d7314699,1.0
d7123983,1.0
d13110521,4.0
d9849074,1.0
d5603650,1.0
d8665899,
d12218015,2.0
d4221315,1.0
d694690,1.0
d5874770,2.0
d10763390,3.0
d12235014,6.0
d10520812,11.0
d12827306,8.0
d5509753,1.0
d10467233,
d1359321,
d986484,1.0
d12629402,1.0
d12115169,8.0
d12448243,3.0
d13370579,7.0
d13325878,7.0
d13141931,7.0
d11805973,1.0
d10440503,2.0
d5825901,1.0
d13124587,9.0
d12200200,6.0
d10100590,
d12195321,4.0
d7934344,1.0
d7779011,1.0
d5313685,1.0
d12365788,1.0
d7375787,
d11903360,1.0
d10629933,3.0
d8506748,1.0
d3804383,
d12383658,
d12018135,
d12596674,1.0
d8469748,
d5804248,
d1035132,1.0
d8339914,2.0
d12408653,1.0
d4888776,1.0
d11667031,4.0
d4769994,2.0
d13073178,6.0
d10838686,1.0
d1747477,1.0
d10760483,1.0
d10335864,1.0
d12899302,1.0
d12590374,4.0
d12966411,44.0
d4259609,1.0
d8862199,2.0
d10123084,
d13236358,10.0
d11094480,1.0
d8463610,1.0
d10453899,1.0
d11677886,2.0
d5048802,1.0
d7303597,1.0
d13007626,1.0
d1346452,1.0
d10092998,1.0
d2307161,1.0
d4770041,1.0
d12644299,
d12437980,6.0
d10380024,
d13125675,9.0
d12029240,
d981805,2.0
d7710502,
d5220238,
d945300,2.0
d5489021,
d12406954,1.0
d7096186,
d10643047,
d12682249,
d10250645,1.0
d1051991,1.0
d11726692,1.0
d10729662,2.0
d13126274,6.0
d13196483,23.0
d1044884,
d6920126,1.0
d1961665,1.0
d4769189,2.0
d13142340,10.0
d12705373,1.0
d12787416,3.0
d2514252,1.0
d12706207,82.0
d13128539,
d11878056,13.0
d11667056,1.0
d5949091,1.0
d12511809,1.0
d10247952,2.0
d10751007,2.0
d12357250,3.0
d5493285,1.0
d12462827,7.0
d12320797,5.0
d1344076,
d13295128,153.0
d12320624,2.0
d7114413,1.0
d10353194,2.0
d12362311,8.0
d13313748,48.0
d11909286,
d12945716,2.0
d13153502,2.0
d12795805,
d11729216,2.0
d6614670,1.0
d13002809,1.0
d5851755,1.0
d8543091,3.0
d9848583,2.0
d3469308,1.0
d13222001,4.0
d716273,
d12915944,2.0
d12956550,3.0
d10805589,4.0
d12946443,6.0
d5863923,2.0
d13284225,5.0
d4084875,1.0
d7112143,1.0
d12878787,
d7319177,29.0
d7193135,1.0
d10766081,11.0
d8472692,
d5771798,2.0
d2061142,1.0
d5519160,1.0
d13171766,7.0
d12981885,10.0
d11659366,
d12653033,3.0
d13405584,6.0
d8606830,1.0
d5795647,
d8363899,1.0
d9585526,
d12436717,3.0
d1381384,1.0
d5817299,2.0
d7123545,
d12959772,1.0
d8807807,1.0
d13149199,23.0
d13135742,5.0
d5768344,
d7124048,2.0
d13292606,15.0
d11933039,223.0
d3374771,1.0
d10108860,1.0
d12694862,2.0
d10496201,2.0
d805474,3.0
d5121446,1.0
d10357129,2.0
d8338479,1.0
d8464894,1.0
d4352024,
d9974974,1.0
d11916719,6.0
d12542786,1.0
d12158176,7.0
d12242272,3.0
d5509303,
d9766274,1.0
d9596611,1.0
d4453348,1.0
d7123241,1.0
d13323261,7.0
d8692585,
d1050549,3.0
d695131,1.0
d8682347,1.0
d7123253,
d11753783,1.0
d12336098,2.0
d12991592,2.0
d8341126,3.0
d3511763,4.0
d13136328,10.0
d13008588,5.0
d7755549,
d1967662,3.0
d13004913,25.0
d4519869,1.0
d5776220,
d1389472,2.0
d990772,1.0
d8768713,5.0
d10267135,1.0
d8460536,3.0
d997943,1.0
d12597937,1.0
d7653757,1.0
d11789075,3.0
d1335702,1.0
d4768953,
d7123992,5.0
d12191998,4.0
d7124168,1.0
d12607828,1.0
d11916478,2.0
d12158032,11.0
d12858841,6.0
d7138244,1.0
d5981839,
d5270630,2.0
d13076814,7.0
d9790245,3.0
d4911420,3.0
d6353458,1.0
d10198118,2.0
d10538213,1.0
d12999419,15.0
d13417628,8.0
d5587738,1.0
d6886284,2.0
d2141891,1.0
d5965954,
d12123930,1.0
d10214438,1.0
d12950858,1.0
d8319843,
d3974453,1.0
d751627,
d12692843,2.0
d8673906,3.0
d10498527,
d7021352,1.0
d4911023,2.0
d13200549,1.0
d13272833,1.0
d7298618,1.0
d12091192,1.0
d2705977,1.0
d13312967,66.0
d12112464,3.0
d7648873,1.0
d12926154,5.0
d13197442,27.0
d12611014,5.0
d13074167,1.0
d8665104,
d4226191,
d7691348,1.0
d12165888,2.0
d4177590,2.0
d12458675,
d13219842,6.0
d10965926,
d7124224,1.0
d12859007,
d13076704,4.0
d9995787,1.0
d12947949,36.0
d5870519,
d2437362,1.0
d2262702,2.0
d945071,3.0
d11717682,3.0
d5523436,2.0
d7123994,1.0
d5823827,
d10416631,1.0
d12852541,6.0
d10243628,1.0
d12592916,378.0
d3974430,1.0
d12622341,6.0
d12161485,
d9730729,
d10230549,1.0
d4732369,1.0
d8122532,3.0
d5866674,
d11280197,4.0
d12273789,6.0
d4506178,
d12651842,6.0
d13138496,11.0
d7003998,1.0
d8037921,1.0
d5895382,3.0
d1335030,1.0
d10805400,8.0
d4924830,2.0
d10066656,1.0
d12612805,9.0
d9839698,2.0
d12421714,2.0
d733506,2.0
d2722135,
d13431184,3.0
d11768645,2.0
d3959657,
d12551017,
d11444722,1.0
d4833405,5.0
d8715545,4.0
d12438320,3.0
d10467092,1.0
d13154033,1.0
d11864713,6.0
d5822495,3.0
d753285,1.0
d13002134,6.0
d7690484,1.0
d12523673,9.0
d11621671,1.0
d1323406,1.0
d3295171,
d12103854,3.0
d12955066,
d12141815,6.0
d9595693,1.0
d3258534,2.0
d13129631,1.0
d12219483,2.0
d12110249,4.0
d6556194,
d12316070,5.0
d5808934,
d13198135,27.0
d10058519,1.0
d5615803,2.0
d10537782,4.0
d6786766,6.0
d5511124,
d12478889,4.0
d12001755,6.0
d5518769,
d4769088,1.0
d6180189,1.0
d7124521,2.0
d5848182,
d5522937,1.0
d7315727,1.0
d13076167,1.0
d13072134,39.0
d12320440,1.0
d1504636,
d7278610,1.0
d8341288,2.0
d11854535,2.0
d10127178,1.0
d12975535,6.0
d4998099,3.0
d12829445,10.0
d13183971,26.0
d10834831,1.0
d12940437,3.0
d12977991,19.0
d5527449,2.0
d11624752,2.0
d12194732,7.0
d7133658,1.0
d8339788,1.0
d10161562,
